rok,miasto,aktor,aktor_znany,typ,trasa,trasa_alt,miejsce_wiecu,miejsce_wiecu_zrodlo,haslo,frekwencja_lista,frekwencja_sr,frekwencja_uwagi,klucze_zrodlowe,plik_zrodlowy,wymaga_weryfikacji
2001,DE,ÖTV,True,demonstracja,Annenstraße – Heinrich-Heine-Strasse – Brückenstrasse – Alexanderstrasse – rechts in die Grunerstrasse – Alexanderplatz – links in der Karl-Liebknecht-Strasse – links in die Spandauer Strasse – Berliner Rathaus (DGBGB 668),,Berliner Rathaus (DGBGB 668),koniec trasy,,,,,Trasa_ÖTV,DE_1990-2019.md,False
2002,DE,DGB,True,demonstracja,"Pariser Platz– Luisenstraße - Reinhardstraße - Friedrichstraße - Oranienburgerstraße - Burgstraße - Spandauerstraße - Rotes Rathaus (Rucht 2002, 247)",,Rotes Rathaus,pole wiec,Globalisierung gerecht gestalten,7000@policja;25000@TSG;10000@ND;12000@TAZ,13500,,Hasło_DGB;TrasaDGB;wiec;FrekwencjaDGB;Apel_DGB,DE_1990-2019.md,False
2002,DE,R1M,True,demonstracja,Rosa Luxemburg Platz - Torstraße - Mollstraße - Otto Braun Straße - Alexanderstraße - Brücken Straße - Heinrich Heiner Straße - Oranienplatz,,Oranienplatz,koniec trasy,,,,,Trasa_revo,DE_1990-2019.md,False
2002,DE,DGB Berlin-Brandenburg,True,,,,,,Stoppt den Arbeitsplatzabbau – für ein lebenswertes Berlin.,,,,Hasło_DGBBB,DE_1990-2019.md,True
2003,DE,DGB,True,demonstracja,"10 Uhr Treff am Brandenburger Tor - DGB-Demozüge zum Roten Rathaus, 11.30 Uhr Kundgebung, auch PDS gehört zu den Aufrufern (ND, 30.04.2003)",,Rotes Rathaus,pole wiec,Reformen Ja! Sozialabbau Nein Danke!,4000@BK;20000@TAZ;7000@policja;8000@BM;20000@Österreichische-Zeit,11800,,Hasło_DGB;TrasaDGB;wiec;FrekwencjaDGB;Apel_DGB,DE_1990-2019.md,False
2003,DE,R1M,True,demonstracja,"Rosa-Luxemburg-Platz über die Mollstraße, Otto-Braun-Straße, Karl-Marx-Allee, Schilling-Brücke, Köpenicker Straße zum Lausitzer Platz",,,,,10000;5000@TAZ,7500,,TrasaRevo;FrekwencjaRevo,DE_1990-2019.md,False
2003,DE,,False,,,,,,,,,,Frekwencja,DE_1990-2019.md,True
2003,DE,DGB Berlin-Brandenburg,True,,,,,,"Schaut auf diese Stadt, macht sie nicht platt - Berlin braucht Arbeit, Bildung, Zukunft",,,,Hasło_DGBBB,DE_1990-2019.md,True
2004,DE,DGB,True,demonstracja,"Zuvor waren die rund 20.000 Demonstranten friedlich vom Brandenburger Tor durch die Berliner Innenstadt zum Roten Rathaus marschiert. „Neoliberal ist asozial“ oder „Nichts ist gut so – schon gar nicht in Berlin“ war unter anderem auf den Transparenten zu lesen (taz 3.05.2004)Die Marschroute verläuft vom Brandenburger Tor über Dorotheen-, Luisen-, Hannoversche Straße, durch die Oranienburger Straße, vorbei am Hackeschen Markt über die Spandauer Straße zum Roten Rathaus, wo sie zur Kundgebung um 11.30 Uhr endet. (taz 28.04.2004)",,Rotes Rathaus,pole wiec,"Unser Europa – frei, gleich, gerecht",25000@Die-Welt;120000@policja;10000@rbb;25000@TAZ,45000,,Hasło_DGB;TrasaDGB;Apel_DGB;wiec;FrekwencjaDGB,DE_1990-2019.md,False
2004,DE,FDJ,True,,,,,,"Lieber raus mit der BRD, als nur  weiter Sozialabgebaut werden! Fabriken und Land zurück in Arbeiterhand! Zurück in die Zukunft: [GDR state emblem]
Europa, Frei, Gleich, Gerecht, wird erst möglich mit der Reslosen Vernichtung des Deutschen Militarismus!",,,,Hasła_FDJ,DE_1990-2019.md,True
2004,DE,DGB Berlin-Brandenburg,True,,,,,,Nichts ist gut so – schon gar nicht in Berlin! Gemeinsam gestalten nur mit uns!,,,,Hasło_DGBBB,DE_1990-2019.md,True
2005,DE,DGB,True,demonstracja,"1. Mai-Demonstrationen des DGB, MaiLauf ab 8 Uhr vom Roten Rathaus über den Großen Stern und zurück +++9.30 Uhr: Skater-Korso vom Olympischen Platz und 9.45 Uhr: MotorradKorso, ebenfalls vom Olympischen Platz +++ Abschlusskundgebung um11 Uhr vorm Roten Rathaus +++ „Aktionsbündnis gegen Studiengebühren“ demonstriert mit einem Block auf der DGB-Demo, Treffpunkt um10 Uhr +++ „Klassenkampf statt Co-Management“, oppositionellerBlock auf der DGB-Demo, Treffpunkt um 10 Uhr am Brandenburger Tor+++ „Echte Gewerkschafter kämpfen“, Demonstration um 12 Uhr mitZiel Industrie- und Handelskammer in der Breiten Straße +++ Große Abschlusskundgebung um 11 Uhr am Roten Rathaus +++
Route:Treff (bike?) DGB-Haus, Keithstraße 1-3–Kleiststraße – An der Urania–Kurfürstenstraße–Potsdamer Straße–zum Potsdamer Platzrechts –in die Stresemannstraße – Mehringbrücke – Links in die Straße – Tempelhofer Ufer – Waterlooufer – Girtschiner Straße – Skalitzer Straße – Oberbaumbrücke – Links in die Mühlenstraße – Stralauer Platz – Holzmarktstraße – Stralauer Straße – Rechts in die Grunerstraße – Links in die Straße Alexanderplatz – Links in die Karl-Liebknecht-Straße – Unter den LindenEnde:Brandenburger Tor
Route:Ebertstraße Richtung Nord, DorotheenstraßeLuisenstraßerechts in die Reinhardtstraßerechts in die Friedrichstraßelinks Unter den LindenKarl-Liebknecht-StraßeSpandauer StraßeEnde:Platz vor dem Roten Rathaus. (waybackmachine erstermai.dgb)",,Rotes Rathaus,pole wiec,Du bist mehr. Mehr als ein Nummer. Mehr als ein Kostenfaktor. Du hast Würde. Zeig sie!,12000@DGB;8000@TSG;12000@BZ;10000@TAZ;10000@ND,10400,,Hasło_DGB;TrasaDGB;wiec;FrekwencjaDGB;Apel_DGB,DE_1990-2019.md,False
2005,DE,DGB Berlin-Brandenburg,True,,,,,,Innovation statt Billiglohn,,,,Hasło_DGBBB,DE_1990-2019.md,True
2006,DE,DGB,True,demonstracja,"Uhr vor dem DGB-Haus in derKeithstraße. Die Demonstrationfür Fußgänger beginnt um 10Uhr. Die Abschlusskundgebungfindet um 11 Uhr vor dem Brandenburger Tor statt, Hauptrednerist Ver.di-Chef Frank Bsirske. (30.04.2006 taz)",,Brandenburger Tor,pole wiec,Deine Würde ist unser Maß,17000@DGB;8;17@rbb,5675,,Hasło_DGB;TrasaDGB;wiec;FrekwencjaDGB;Apel_DGB,DE_1990-2019.md,False
2006,DE,DGB Berlin-Brandenburg,True,,,,,,Berlin braucht seine Plätze – Arbeits- und Ausbildungsplätze,,,,Hasło_DGBBB,DE_1990-2019.md,True
2007,DE,DGB,True,demonstracja,"Die DGB-Mai-Demonstration beginnt pünktlich um 9 Uhr vor der DGB-Landeszentrale am Wittenbergplatz. Nach einer kurzen Kundgebung geht es zügig weiter zum Brandenburger Tor, wo ab 11 Uhr bereits Bratwürstchen und rote Luftballons warten. (taz 30.04)
Auf die längste Tradition zurückblicken können die Gewerkschaften mit ihrer 1.-Mai-Demonstration, die um 10 Uhr an der Berliner DGB-Zentrale in der Keithstraße nahe Wittenbergplatz  beginnt und  um  11 Uhr  vor dem Brandenburger Tor mit einer Kundgebung endet.  (taz 28.04)",,Brandenburger Tor,pole wiec,Du hast mehr verdient – Mehr Respekt. Soziale Gerechtigkeit. Gute Arbeit,12000@BK;7500@policja;12000@rbb,10500,,Hasło_DGB;TrasaDGB;wiec;FrekwencjaDGB;Apel_DGB,DE_1990-2019.md,False
2007,DE,DGB Berlin-Brandenburg,True,,,,,,Fair statt prekär – Gute Arbeit für Berlin!,,,,Hasło_DGBBB,DE_1990-2019.md,True
2008,DE,DGB,True,demonstracja,"Der Gewerkschaftsbund hat seine zentrale Kundgebung um 11.30 Uhr am Brandenburger Tor unter das Motto ""Gute Arbeit muss drin sein"" gestellt. Zur Kundgebung führen auch Korsos mit Inline-Skates, Motorrad oder Fahrrad, ab 10 Uhr vom _DGB_-Haus in der Keithstraße 1-3 in Schöneberg. (Berliner Zeitung 30.04.2008)",,Brandenburger Tor,pole wiec,Gute Arbeit muss drin sein!,6000@policja;6000@BZ,6000,"bez liczby: taz,  ; BK; ""weit weniger als",Hasło_DGB;TrasaDGB;wiec;FrekwencjaDGB;Apel_DGB,DE_1990-2019.md,False
2008,DE,DGB Berlin-Brandenburg,True,,,,,,Gute Bezahlung muss drin sein!,,,,Hasło_DGBBB,DE_1990-2019.md,True
2009,DE,DGB,True,demonstracja,"Da muss morgen Vormittag die DGB-Demonstration vom Wittenbergplatz zum Brandenburger Tor abgesichert werden (samt Skater-, Motorrad- und Fahrradkorso), mittags die erste ""revolutionäre"" Demo durch Kreuzberg und Neukölln und die Mayday-Demo vom Bebelplatz zum Moritzplatz (Berliner Kurier 30.04)
Der _DGB_ zieht ab 9 Uhr vom Wittenbergplatz zum Brandenburger Tor - zu Fuß und auf Rädern. (taz 30.04)
Route Fahrrad: DGB-Haus, Keithstraße 1-3–Kleiststraße – An der Urania–Kurfürstenstraße–Potsdamer Straße–zum Potsdamer Platzrechts –in die Stresemannstraße – Mehringbrücke – Links in die Straße – Tempelhofer Ufer – Waterlooufer – Girtschiner Straße – Skalitzer Straße – Oberbaumbrücke – Links in die Mühlenstraße – Stralauer Platz – Holzmarktstraße – Stralauer Straße – Rechts in die Grunerstraße – Links in die Straße Alexanderplatz – Links in die Karl-Liebknecht-Straße – Unter den LindenEnde:Brandenburger Tor (DGB waybackmachine)
Route Demonstration: Kleiststraße – richtung Nolfendorfplatz",,Brandenburger Tor,pole wiec,Arbeit für alle! Bei fairem Lohn,20000@TAZ;20000@rbb,20000,,Hasło_DGB;TrasaDGB;wiec;FrekwencjaDGB,DE_1990-2019.md,False
2009,DE,DGB Berlin-Brandenburg,True,,,,,,-,,,,Hasło_DGBBB,DE_1990-2019.md,True
2010,DE,DGB,True,demonstracja,Wittenbergplatz - An der Urania - Kurfürstendstrasse - Postdamer Strasse - Potsdamer Platz - Ebertstrasse - Pariser Platz (taz 30.04),,Brandenburger Tor,pole wiec,Wir gehen vor! Gute Arbei. Gerechte Löhne. Starker Sozialstaat,12000@TSG;7500@policja,9750,,Hasło_DGB;TrasaDGB;wiec;FrekwencjaDGB;Apel_DGB,DE_1990-2019.md,False
2010,DE,DGB Berlin-Brandenburg,True,,,,,,-,,,,Hasło_DGBBB,DE_1990-2019.md,True
2011,DE,DGB,True,demonstracja,"9:00 DGB-Haus - Kleistrasse - Bülowstrasse - Postdamerstrasse - Lützowstrasse - Köthenerstrasse - Ebertstrasse - Brandenburger Tor. 11:30 End rally, then cultural program till 18:00 (30.04 taz)",,Brandenburger Tor,pole wiec,"Das ist das Mindeste! Faire Löhne, gute Arbeit, soziale Sicherheit",10000@BM;6000@BM,8000,"bez liczby: BZ,",Hasło_DGB;TrasaDGB;wiec;FrekwencjaDGB;Apel_DGB,DE_1990-2019.md,False
2011,DE,DGB Berlin-Brandenburg,True,,,,,,Berlin braucht sozial Sicherheit,,,,Hasło_DGBBB,DE_1990-2019.md,True
2012,DE,DGB,True,demonstracja,"10:00 Hackesher Markt - Anna-Louisa-Karsch-Strasse –  An der Spandauer Brücke – Oranienburgstrasse – Friedrichstrasse – Luisenstrasse – Brandenburg Tor
Bereits für den Vormittag hat der Deutsche Gewerkschaftsbund zu einer Großdemonstration aufgerufen. Um 10 Uhr sollen an der Spandauer Straße ein Motorrad- und ein Fahrrad-Korso sowie eine Skater-Demo und schließlich ein großer Demonstrationszug starten. Die Route verläuft über die Oranienburger Straße zum Brandenburger Tor. Ab 11.30 Uhr plant der DGB dann seine Mai-Kundgebung auf dem Platz des 18.März, wo es anschließend ein Kinder- und Familienfest gibt, das sich über die Straße des 17.Juni hinzieht.",,Brandenburger Tor,pole wiec,Gute Arbeit für Europa – Gerechte Lohne und soziale Sicherheit,12;15000@TSG;5000@pochód;6000@BM;12000@DGBAI3702;10000@ND,8002,,Hasło_DGB;TrasaDGB;wiec;FrekwencjaDGB;Apel_DGB,DE_1990-2019.md,False
2013,DE,DGB,True,demonstracja,"Spandauerstrasse – Anna-Louisa-Karsch-Strasse – An der Spandauer Brücke – Hackescher Markt – Oranienburger Strasse – Frierichstrasse – Reinhardstrasse - Luisenstrasse – Pariser Platz (taz 30.04.15, 30.04.2014)",,Brandenburger Tor,pole wiec,"1. Mai – Unser Tag: Gute Arbeit, Sichere Rente, Soziales Europa",7000;12000@Welt;10000@TAZ,9667,,Hasło_DGB;TrasaDGB;wiec;FrekwencjaDGB;Apel_DGB,DE_1990-2019.md,False
2013,DE,DGB Berlin-Brandenburg,True,,,,,,Berlin. Haputstadt (der prekaren Beschäftigung und der Altersarmut) im Herzen,,,,Hasło_DGBBB,DE_1990-2019.md,True
2014,DE,DGB,True,demonstracja,"Spandauerstrasse – Anna-Louisa-Karsch-Strasse – An der Spandauer Brücke – Hackescher Markt – Oranienburger Strasse – Frierichstrasse – Reinhardstrasse - Luisenstrasse – Pariser Platz (taz 30.04.15, 30.04.2014)",,Brandenburger Tor,pole wiec,Gute Arbeit. Soziales Europa,5000@TSG;10000@ND,7500,,Hasło_DGB;TrasaDGB;wiec;FrekwencjaDGB;Apel_DGB,DE_1990-2019.md,False
2015,DE,DGB,True,demonstracja,"Spandauerstrasse – Anna-Louisa-Karsch-Strasse – An der Spandauer Brücke – Hackescher Markt – Oranienburger Strasse – Frierichstrasse – Reinhardstrasse - Luisenstrasse – Pariser Platz (taz 30.04.15, 30.04.2014)",,Brandenburger Tor,pole wiec,Die Arbeit der Zukunft gestalten wir,14000@TAZ,14000,"""zehntausende"" BZ",Hasło_DGB;MuzykaDGB;FrekwencjaDGB;TrasaDGB;wiec;Apel_DGB,DE_1990-2019.md,False
2015,DE,R1M,True,demonstracja,"Spreewaldplatz -> Ohlauerstrasse → (Gerhart Haputmann Schule) -> Reichenbergerstrasse -> Glogauerstrasse → Pannierstrasse -> Sonnenallee → (?) -> Karl-Marx-Straße → Hermannplatz -> Kottbusser Damm → Mariannenstrasse -> Reichenbergerstrasse -> Lausitzerstrasse -> Lausitzerplatz . Źródła: taz.de (https://taz.de/-taz-Ticker-zum-1-Mai-/!5010110/), nd-aktuell.de (https://www.nd-aktuell.de/artikel/970785.mai-demonstrationen.html), berliner-zeitung.de (https://www.berliner-zeitung.de/mensch-metropole/revolutionaerer-1-mai-2015-linksradikale-szene-mobilisiert-fuer-1-mai-in-berlin-li.53503).https://www.tagesspiegel.de/berlin/so-war-der-1-mai-in-berlin-3624361.html",,,,,,,,Trasa_revo,DE_1990-2019.md,False
2016,DE,DGB,True,demonstracja,"9:00 Uhr:Treffen zu den Demos, Auftakt, Musik (Spandauer Straße, Nähe S-Bhf. Hackescher Markt10:00 Uhr:Start der Demos vom Hackeschen Markt - Motorrad-Korso, Fahrrad-Korso, Skating-Demo und Demonstrationszug zum Brandenburger Tor (verdi 2016)
10:00 Hackesher Markt - Spandauer Strasse - Mühlendamm - Gertraudenstrasse - Leipziger Strasse - Ebertstrasse - Pariser Platz (30.04 taz)",,Brandenburger Tor,pole wiec,Zeit für mehr Solidarität,14000@TAZ,14000,,Hasło_DGB;TrasaDGB;wiec;Apel_DGB;FrekwencjaDGB,DE_1990-2019.md,False
2016,DE,R1M,True,demonstracja,"Faktyczna trasa z livetickera taz.de: Oranienplatz (start, 18:00) → Oranienstraße (do Adalbertstraße, 18:23) → Adalbertstraße → Waldemarstraße (pętla MyFest, 18:38) → Leuschnerdamm → Powrót do Oranienplatz → Moritzplatz (18:45) → Prinzenstraße (północ) → Heinrich-Heine-Straße (U-Bahn, 19:12) → Köpenicker Straße (Köpi, 19:25-19:35) → Skalitzer Straße (Schlesisches Tor, 20:00) → Lausitzer Platz (koniec, ~20:00). Skrócona przez policję/MyFest",,,,,,,,Trasa_revo,DE_1990-2019.md,False
2017,DE,DGB,True,demonstracja,"Die Demonstration mit Motorrad-Korso und Fahrrad-Korso beginnt am Hackeschen Markt um 10 Uhr und mündet am Brandenburger Tor, wo ab 11 Uhr die traditionelle Mai-Kundgebung stattfindet. Anschließend gibt es ein Kinder- und Familienfest auf der Straße des 17. Juni. Für Essen und Trinken ist gesorgt, und auch auf Hüpfburgen und Spiele können die Kleinen sich freuen. Mehr als 20.000 Teilnehmer zählte die Veranstaltung im letzten Jahr. Das Kinderfest findet von 11 bis 18 Uhr statt. (Berliner Morgenpost 27.04)
10:00 Hackesher Markt - Spandauer Strasse - Mühlendamm - Gertraudenstrasse - Leipziger Strasse - Ebertstrasse - Pariser Platz (29_30.04 taz)",,Brandenburger Tor,pole wiec,"Wir sind viele, wir sind eins!",14000@BZ;12000@Naturfreunde,13000,,Hasło_DGB;TrasaDGB;wiec;FrekwencjaDGB;Apel_DGB,DE_1990-2019.md,False
2017,DE,R1M,True,demonstracja,Oranienstraße -Adalbertstraße - Naunynstraße - Manteuffelstraße - Reichenberger Straße-Ohlauer Straße-Friedelstraße-Weserstraße-Pannierstraße-Glogauer Straße-Reichenberger Straße-Ohlauer Straße-Spreewaldplatz (https://1maiberlin.noblogs.org/archiv/),,,,,,,,Trasa_revo,DE_1990-2019.md,False
2018,DE,DGB,True,demonstracja,"Auftakt und Treffen ist 9 Uhrin der Spandauer Straße, Nähe SBahnhof Hackescher Markt. DerDemozug führt dann über Mühlendamm, Gertraudenstraße,Leipziger Straße, Potsdamer Platzund Ebertstraße zum Platz des 18.März, wo um 12 Uhr eine Kundgebung stattfinden wird. Berlins Regierender Bürgermeister MichaelMüller (SPD) spricht dort einGrußwort. Es wird auch wieder einen Motorrad- und Fahrradkorsogeben. Beide starten ebenfalls9 Uhr an der Spandauer Straßeund enden am Platz des 18. März. (Berliner Zeitung 30.4)",,Brandenburger Tor,pole wiec,"Solidarität, Vielfalt, Gerechtigkeit",14000@ND,14000,,Hasło_DGB;TrasaDGB;Apel_DGB;wiec;FrekwencjaDGB,DE_1990-2019.md,False
2018,DE,R1M,True,,,,,,,,,,Trasa_revo,DE_1990-2019.md,True
2019,DE,DGB,True,demonstracja,"10:00 Hackesher Markt – Spandauer Strasse - Rathausstrasse - ? - Ebert Strasse 12:00 (twitter, Berliner Morgenpost 30.04)",,Brandenburger Tor,pole wiec,Europa. Jetzt aber richtig!,13000@DGB;8000@TAZ,10500,,Hasło_DGB;Apel_DGB;TrasaDGB;FrekwencjaDGB;wiec,DE_1990-2019.md,False
2019,DE,R1M,True,,,,,,Gegen die Stadt der Reichen,10000@TAZ,10000,,Trasa_revo;FrekwencjaRevo;Hasło_revo,DE_1990-2019.md,True
